NHOGAR;HY050N;HY110N;HS040;HS060;HS080;HS090;HS120;HH021;HX040;vhRentaa;vhPobreza;DB040;edad mayor;horas trabajo semanal hogar;MAYORES 16;SEXO mayor;ACT mayor
3275;0;0;2;2;1;1;1;2;3;14660,8;1;ES43;50;0;3;0;5
3278;0;0;2;2;1;2;1;2;2;10933;1;ES43;53;0;1;0;5
3280;0;0;2;2;1;1;2;1;3;10606,1;1;ES43;45;0;1;0;5
3290;0;0;1;1;1;1;5;1;2;30879,4;0;ES43;47;55;2;0;1
3315;0;0;1;1;1;1;4;2;2;15207,8;0;ES43;38;40;1;0;1
3338;0;0;1;1;1;1;1;2;2;238,5;1;ES53;54;0;1;0;10
3374;100;0;1;1;1;1;3;2;2;33143,7;0;ES53;46;35;1;0;1
3415;0;0;1;1;1;1;5;2;2;31947,9;0;ES53;54;40;1;0;1
3485;0;0;1;1;1;1;2;5;2;14488,8;0;ES51;54;0;1;0;1
3536;0;0;2;2;1;1;3;3;2;7570,5;1;ES51;53;0;1;0;5
3540;0;0;1;1;1;1;4;5;2;12290,4;0;ES51;37;40;1;0;3
3585;0;0;2;2;1;2;2;1;2;13122,8;0;ES51;68;0;2;0;10
3614;0;0;2;2;1;1;2;2;2;19420,5;0;ES51;48;40;2;0;1
3662;0;0;1;1;1;1;1;2;4;27540,1;0;ES51;42;40;3;0;1
3727;0;0;2;2;1;1;3;2;3;8041,7;1;ES51;51;38;3;0;1
3736;0;0;1;1;1;1;3;1;3;32131,7;0;ES51;45;37;2;0;1
3914;0;0;1;1;1;1;2;2;2;21357,3;0;ES61;51;35;1;1;1
3950;0;0;2;2;1;1;3;1;3;17088,4;0;ES42;46;0;2;0;5
3958;0;0;1;1;1;1;3;1;2;13220,8;0;ES42;54;0;2;0;10
3976;0;0;1;1;1;1;5;2;2;13803,8;0;ES61;40;0;1;0;11
4044;0;0;2;2;1;1;1;3;2;9007,5;1;ES11;40;30;2;0;2
4066;0;0;1;1;1;1;3;3;2;8017,58;1;ES30;46;20;2;0;2
4244;0;1200;1;2;1;1;5;1;2;27175,4;0;ES21;49;40;1;0;1
4276;0;0;2;1;1;2;1;3;2;10722;1;ES24;55;0;1;0;5
4280;0;0;2;1;1;1;2;3;2;12200,3;0;ES24;49;45;1;0;1
4316;0;0;2;2;1;1;1;2;3;12422,5;1;ES61;41;30;1;0;2
4392;0;0;2;2;1;1;1;3;2;6936;1;ES51;47;0;2;0;5
4398;0;0;1;1;1;1;4;1;2;35738,6;0;ES51;55;38;1;1;1
4405;0;0;1;1;1;1;4;3;2;17876,6;0;ES23;51;40;2;1;1
4413;0;0;2;1;1;1;2;2;3;22556,4;0;ES23;41;0;1;0;5
4572;0;0;1;2;1;1;3;1;5;47917,69;0;ES30;44;0;3;0;10
4590;0;0;1;1;1;1;3;5;3;17116,7;0;ES30;38;38;1;0;1
4608;0;0;2;2;1;1;1;2;3;18501,8;0;ES30;45;20;1;0;2
4635;300;0;1;2;1;1;1;3;2;3240;1;ES30;42;15;1;0;2
4673;0;7200;1;1;1;1;4;3;3;29300,3;0;ES30;49;45;2;0;1
4681;0;0;1;1;1;1;4;3;2;22422,2;0;ES30;44;40;1;0;1
4702;0;0;2;2;1;1;3;5;2;59723,8;0;ES30;50;0;2;0;8
4756;0;0;1;1;1;1;4;2;3;14848,5;0;ES30;45;30;1;0;2
4764;0;0;2;2;1;1;1;3;2;6703,2;1;ES30;68;20;2;0;2
4778;0;0;2;2;1;2;1;3;4;8260;1;ES30;31;0;1;0;5
4779;0;0;1;2;1;1;3;2;3;24971,1;0;ES30;51;38;1;0;1
4792;0;0;1;1;1;1;4;1;2;51897,27;0;ES30;52;40;2;0;1
4803;0;0;2;2;1;1;3;3;4;17098,1;1;ES30;47;35;2;0;1
4818;0;0;2;2;1;1;2;2;2;13576,7;0;ES30;48;0;1;0;5
4886;0;0;2;2;1;1;3;1;2;8416;1;ES61;49;0;2;0;5
4888;0;0;2;2;1;2;1;3;3;10746,7;1;ES61;32;54;1;0;1
4924;0;0;1;1;1;1;3;1;2;12421,13;0;ES61;58;0;2;0;5
4989;0;2280;2;2;1;2;1;5;2;8964,8;1;ES62;51;60;1;0;1
5024;0;0;2;2;1;1;2;2;3;11114,2;1;ES62;47;0;2;0;5
5033;0;0;2;2;1;1;1;2;3;11454,1;1;ES62;40;0;2;0;5
5068;0;0;1;1;1;1;1;1;2;8745,8;1;ES62;56;0;2;0;5
5126;0;0;2;2;1;1;1;4;2;13603,5;0;ES21;40;20;1;0;2
5183;0;0;1;1;1;1;4;1;2;31337,9;0;ES22;53;40;2;1;1
5231;0;800;1;1;1;1;3;2;3;25651,4;0;ES11;38;38;1;0;1
5353;0;0;2;2;1;1;2;3;3;12747,4;1;ES12;53;40;3;0;1
5543;1200;0;1;1;1;1;5;5;2;20280;0;ES11;42;40;1;0;1
5576;0;0;1;1;1;1;4;2;2;48269,5;0;ES41;43;38;1;0;1
5577;0;395;2;2;1;3;1;5;2;730,51;1;ES41;50;0;1;0;5
5596;0;0;2;2;1;1;2;1;2;16273,2;0;ES70;55;0;1;0;5
5627;5112;0;2;2;1;2;3;1;2;9106,8;1;ES70;28;0;1;0;5
5760;0;0;1;2;1;1;3;5;2;8132;1;ES61;54;0;2;0;5
5772;0;0;2;2;1;3;1;2;3;4031,5;1;ES61;38;20;1;0;2
5816;0;0;1;1;1;1;3;2;3;26332,6;0;ES61;46;38;1;0;1
5832;0;0;2;2;1;1;3;3;3;8268,56;1;ES41;29;0;1;0;5
5866;440;0;2;2;1;1;1;2;3;10678,7;1;ES42;33;0;1;0;5
5890;0;0;2;1;1;1;3;2;2;9723,7;1;ES52;44;40;2;0;1
5917;0;1000;1;1;1;1;4;1;3;1008,6;1;ES52;42;0;1;0;5
5940;0;0;2;2;1;2;1;1;2;5137;1;ES52;55;0;2;0;8
5966;0;0;1;1;1;1;3;2;2;30780,7;0;ES52;52;40;2;0;3
6002;0;0;1;1;1;1;3;2;2;29608,1;0;ES52;39;40;1;0;1
6061;0;0;2;1;1;1;3;2;3;21468,9;0;ES41;51;35;3;0;1
6097;0;0;2;2;1;1;2;2;2;10140;1;ES21;45;0;1;0;5
6118;0;0;2;2;1;1;2;2;2;2944,7;1;ES21;44;0;1;0;5
6163;0;0;2;2;1;2;2;3;2;32766,5;0;ES21;44;35;1;0;1
6254;0;0;2;1;1;1;3;1;2;5156,8;1;ES24;54;40;2;0;1
6278;0;0;1;1;1;1;5;2;3;40385,1;0;ES24;44;40;1;0;1
6303;0;0;1;1;1;1;5;2;2;34474,5;0;ES24;50;37;2;0;1
6348;0;0;1;2;1;2;2;3;2;8541,2;1;ES63;40;60;1;1;3
6358;0;0;1;1;1;1;4;5;3;47917,7;0;ES64;46;38;2;1;1
6375;580;105;1;2;1;1;2;3;3;11048,5;1;ES64;30;35;1;0;1
6465;0;0;1;1;1;1;5;2;2;41840,1;0;ES52;54;30;2;0;2
6524;0;0;2;1;1;1;1;2;3;27953,1;0;ES52;45;40;3;1;1
6575;0;0;2;2;1;2;1;2;2;21558,4;0;ES41;45;21;1;0;3
6580;1200;0;1;2;1;1;2;2;2;10004,27;1;ES41;33;30;1;0;2
6631;0;0;1;2;1;3;2;3;2;10098,3;1;ES43;39;40;2;0;1
6657;0;300;2;2;1;1;2;3;2;10561,9;1;ES43;30;0;1;0;5
6691;0;0;2;2;1;3;3;5;2;13056,8;0;ES43;36;60;1;0;1
6697;0;0;1;1;1;3;3;1;2;14221,5;0;ES43;45;0;1;1;1
6795;0;0;1;1;1;1;3;2;2;25927,7;0;ES53;31;30;1;0;1
6801;0;0;1;1;1;1;6;5;2;20762,6;0;ES53;42;30;1;0;1
6836;0;0;1;1;1;1;3;2;3;34699,3;0;ES53;43;40;1;1;1
6883;0;0;2;2;1;1;2;3;3;29784,7;0;ES51;49;37;2;0;1
6888;0;0;1;1;1;1;4;3;2;5985,6;1;ES51;48;0;1;1;1
6899;0;0;1;1;1;1;4;3;3;76764,33;0;ES51;47;0;2;0;1
6937;0;0;1;2;1;1;2;3;2;39721,7;0;ES51;60;30;2;0;1
6953;0;0;2;2;1;1;2;2;2;29550,4;0;ES51;42;0;2;0;1
6958;0;0;1;2;1;1;2;3;2;18053,3;0;ES51;35;43;1;0;1
6997;0;0;2;2;1;1;3;3;3;0,6;1;ES51;40;45;1;0;3
7009;0;0;2;2;1;1;2;3;2;8429,4;1;ES51;45;40;2;0;1
7011;0;0;1;1;1;1;3;5;2;17438,4;0;ES51;50;40;2;0;1
7024;0;0;2;2;1;1;1;2;2;1520,5;1;ES51;45;0;2;0;5
7054;0;0;2;1;1;1;3;1;2;7603,2;1;ES51;42;25;2;0;2
7060;0;0;1;1;1;1;5;2;2;35142,2;0;ES51;51;40;2;0;1
7083;0;0;2;2;1;1;1;1;2;301,5;1;ES51;31;0;1;0;5
7105;0;0;2;2;1;1;2;1;3;12752;1;ES51;42;0;1;0;5
7150;0;0;2;2;1;1;2;1;2;34955,3;0;ES51;47;40;2;0;1
7179;0;2640;2;2;1;1;3;5;3;7920;1;ES41;43;0;1;0;10
7191;0;0;2;2;1;1;3;2;2;19324,5;0;ES41;62;12;2;0;2
7204;0;0;1;2;1;2;1;1;2;9922,7;1;ES43;60;12;2;0;2
7224;0;0;1;1;1;1;2;1;2;29495;0;ES61;56;0;2;1;5
7247;0;0;2;2;1;1;1;4;5;915,7;1;ES61;33;0;1;0;5
7331;0;0;1;1;1;1;4;2;2;9032,1;1;ES42;33;0;1;0;5
7353;0;0;1;2;1;3;4;1;2;13659,5;0;ES42;38;0;1;1;8
7478;0;0;1;1;1;1;4;1;2;37153;0;ES11;61;0;2;0;3
7516;0;290;2;2;1;1;3;3;2;1908,4;1;ES11;31;12;1;0;2
7549;0;0;1;1;1;1;4;2;2;48437;0;ES11;46;40;2;0;1
7580;0;0;2;2;1;1;2;2;3;21494,9;0;ES51;45;37;1;0;1
7623;0;0;2;2;1;3;2;3;3;5284,1;1;ES61;42;0;1;0;5
7696;0;0;1;1;1;1;3;2;3;60549,9;0;ES21;52;48;1;0;1
7700;0;0;2;1;1;1;3;2;3;68347,6;0;ES21;49;60;2;0;1
7795;0;0;1;1;1;1;4;1;3;38488,6;0;ES41;51;40;2;0;1
7824;0;0;1;1;1;1;4;2;2;26858,3;0;ES41;51;30;1;0;1
7868;0;0;2;2;1;2;2;1;3;22155,6;0;ES51;41;0;1;0;5
7906;0;0;1;1;1;2;1;3;2;7950,9;1;ES23;71;0;1;0;10
7912;0;1800;2;1;1;1;4;5;3;19952,8;0;ES23;40;5;1;0;2
7971;0;0;2;2;1;1;3;2;2;5125,2;1;ES23;44;20;1;0;2
8054;0;0;2;1;1;1;2;1;2;16744,7;0;ES30;55;0;2;0;5
8077;0;0;2;2;1;1;1;2;2;15471,7;0;ES30;40;0;1;0;5
8096;0;0;2;1;1;1;1;1;2;4000;1;ES30;61;20;2;0;2
8136;0;0;1;2;1;1;3;2;2;16653,4;0;ES52;33;30;1;0;1
8256;0;0;1;2;1;1;4;1;2;27830,8;0;ES30;50;38;2;0;1
8260;0;0;2;2;1;1;2;1;2;13856,3;0;ES30;46;0;2;0;5
8287;0;0;2;2;1;1;3;3;4;1138,72;1;ES30;45;37;1;0;1
8397;0;0;2;2;1;1;1;4;2;9600;1;ES30;57;40;2;0;1
8406;0;0;1;1;1;1;3;2;2;27840,5;0;ES30;38;60;1;0;3
8415;0;0;1;1;1;1;2;1;2;16489,84;0;ES30;53;40;2;1;1
8439;0;0;1;1;1;3;4;2;2;25241,2;0;ES30;39;40;1;0;1
8507;0;0;2;2;1;1;2;2;2;15361,6;0;ES61;48;40;2;0;1
8516;0;0;2;2;1;1;2;1;2;12397,3;0;ES61;62;0;2;0;10
8562;0;0;2;1;1;1;2;1;2;3333;1;ES62;55;0;2;0;1
8585;0;0;2;2;1;1;1;2;2;15849,96;0;ES62;53;40;2;0;1
8615;0;0;2;1;1;1;1;1;3;5394;1;ES62;51;0;2;1;3
8647;1000;1000;1;1;1;1;3;1;3;5743,9;1;ES62;48;0;1;0;3
8703;0;4320;1;1;1;1;4;1;2;19242,5;0;ES22;45;20;1;0;2
8706;0;0;1;1;1;1;4;1;3;23633,8;0;ES22;45;30;1;0;1
8753;0;0;2;2;1;2;2;2;2;14222;0;ES22;41;0;1;0;5
8755;0;0;2;2;1;1;2;1;3;17822,5;0;ES22;46;40;2;0;1
8803;0;0;1;1;1;3;5;3;2;21969,2;0;ES11;39;50;1;0;1
8812;0;0;2;1;1;1;4;2;3;36568,8;0;ES11;45;50;2;0;1
8878;0;0;2;2;1;1;2;3;3;7692;1;ES12;45;0;2;0;5
8928;0;0;1;2;1;1;3;5;3;15574,2;0;ES12;47;12;1;0;2
8950;0;0;2;2;1;1;3;1;3;5375,3;1;ES12;50;0;2;0;5
8967;0;0;2;1;1;1;3;2;2;33184,6;0;ES12;51;37;1;0;1
8980;0;0;1;1;1;1;1;2;3;12297,1;1;ES12;42;50;2;0;1
8992;0;0;2;1;1;1;2;1;2;16473,6;0;ES12;47;84;2;0;3
9010;0;1800;2;2;1;2;1;4;2;7646,6;1;ES12;54;0;1;0;5
9023;0;0;2;2;1;1;2;5;2;3669;1;ES41;33;0;1;0;8
9090;0;0;2;2;1;1;2;2;2;12077,3;1;ES70;53;40;1;0;1
9099;0;0;1;1;1;1;2;1;2;8102,32;1;ES70;45;70;1;1;3
9141;0;0;1;1;1;1;3;3;3;21010,8;0;ES11;44;45;2;0;3
9217;0;0;2;2;1;1;1;3;3;0;1;ES70;42;0;1;0;5
9253;0;0;1;1;1;3;4;2;2;22577,2;0;ES70;38;37;1;1;1
9268;0;3600;2;2;1;1;3;2;2;18564,4;0;ES70;47;50;1;0;3
9272;0;0;1;1;1;1;1;2;2;9936,6;1;ES70;48;50;1;0;1
9289;0;0;1;2;1;1;2;2;3;3241,6;1;ES13;49;40;3;0;1
