NHOGAR;HY050N;HY110N;HS040;HS060;HS080;HS090;HS120;HH021;HX040;vhRentaa;vhPobreza;DB040;edad mayor;horas trabajo semanal hogar;MAYORES 16;SEXO mayor;ACT mayor
12515;0;0;1;2;1;3;2;3;3;4885,3;1;ES51;48;0;2;0;5
12525;0;0;2;2;1;1;1;2;2;10983,8;1;ES51;48;25;2;0;2
12594;0;0;1;1;1;1;6;1;3;-17568,3;1;ES51;53;50;1;1;1
12734;0;0;1;2;1;1;2;2;2;22612,1;0;ES51;37;44;1;1;1
12765;582;0;2;2;1;1;1;2;3;-11887,2;1;ES51;50;50;1;0;3
12769;0;0;1;1;1;1;4;1;2;23882,7;0;ES51;58;40;2;0;1
12774;0;0;1;1;1;1;5;2;4;203819,2;0;ES51;48;40;1;1;1
12820;0;0;2;2;1;2;2;2;2;1220,9;1;ES51;57;50;1;0;3
12957;0;0;2;1;1;1;1;3;2;14363,2;0;ES51;50;40;1;0;1
12961;0;0;1;1;1;1;4;3;2;37866,82;0;ES51;55;0;2;1;1
12989;0;0;1;2;1;1;2;1;2;13148,1;0;ES51;47;40;2;0;1
12997;0;0;1;2;1;1;3;2;3;45700,9;0;ES51;55;37;3;0;1
13027;0;0;1;2;1;1;2;3;2;19960,3;0;ES51;44;35;1;0;1
13059;0;0;2;2;1;1;1;2;2;8315,6;1;ES51;54;0;2;1;8
13071;0;0;1;1;1;1;3;3;2;25009,1;0;ES51;39;40;1;0;1
13166;0;0;1;1;1;1;3;1;3;92407,5;0;ES51;59;37;3;1;1
13174;0;0;1;1;1;1;3;1;3;58668,8;0;ES51;54;37;3;0;1
13278;0;0;1;2;1;1;2;2;2;37670,44;0;ES51;50;65;2;0;1
13326;0;0;2;2;1;1;2;2;2;28021;0;ES51;45;40;1;0;1
13356;0;0;1;1;1;1;4;1;2;5344,4;1;ES51;53;40;1;1;1
13401;0;0;2;2;1;1;2;3;3;7318;1;ES41;43;40;1;1;1
13567;0;0;1;1;1;1;4;2;3;28540;0;ES61;49;30;1;0;1
13624;0;0;2;2;1;1;1;2;3;5979,9;1;ES61;44;0;2;0;5
13674;0;0;1;1;1;1;3;1;2;16603,72;0;ES52;42;25;1;0;2
13734;0;0;1;1;1;1;3;3;3;3000;1;ES42;26;0;1;0;10
13807;0;0;2;1;1;1;3;2;2;23567,6;0;ES61;37;37;1;0;1
13844;0;0;2;2;1;1;1;4;3;7643,1;1;ES61;55;20;3;0;1
13885;0;0;1;1;1;1;4;2;2;-8967,8;1;ES11;48;0;2;0;3
13948;0;0;1;2;1;2;3;3;2;6718,64;1;ES11;37;36;2;1;5
13972;0;1800;1;1;1;1;4;1;2;1800;1;ES11;35;0;1;0;5
13974;0;0;2;1;1;1;1;2;2;19311,96;0;ES11;50;0;2;0;1
13983;0;0;2;2;1;1;3;1;3;20999,15;0;ES11;46;45;2;0;1
14070;0;0;1;2;1;1;3;1;3;18793,1;0;ES42;48;20;1;0;4
14139;0;0;2;2;1;1;1;1;3;15800;0;ES51;41;40;1;1;1
14183;0;0;2;2;1;2;1;2;2;16959,2;0;ES51;54;40;2;0;3
14252;0;0;1;1;1;1;4;3;2;1951,03;1;ES51;29;40;1;0;1
14258;0;0;2;2;1;2;1;3;2;11968,1;0;ES51;33;0;1;0;10
14385;0;0;2;2;1;1;1;2;2;8295;1;ES51;42;0;1;0;5
14433;0;0;1;1;1;1;3;2;4;36905,01;0;ES61;45;40;2;0;1
14556;285;0;1;1;1;1;3;1;3;44805,1;0;ES21;44;45;1;0;1
14560;0;0;1;1;1;1;5;2;2;101488,5;0;ES21;44;48;1;1;3
14577;0;900;1;1;1;1;3;1;2;27874,7;0;ES21;40;25;1;0;2
14615;0;290;2;2;1;2;1;5;3;5319,9;1;ES61;42;0;2;0;10
14616;0;1200;1;2;1;1;3;1;3;13006,8;1;ES61;39;40;1;1;1
14756;0;0;1;1;1;1;5;1;2;46719,4;0;ES41;56;37;2;0;1
14777;0;0;2;2;1;3;1;2;2;9205,2;1;ES41;34;0;1;0;5
14827;0;0;1;1;1;1;4;5;2;30966;0;ES51;52;40;2;0;1
14956;0;0;1;1;1;2;3;2;3;17087,5;0;ES51;40;60;1;1;3
15183;0;0;1;2;1;1;3;1;3;8175,8;1;ES30;53;30;2;0;2
15206;0;0;1;1;1;1;2;1;3;43323,5;0;ES30;55;40;3;1;1
15216;0;0;1;1;1;1;5;1;3;21221;0;ES30;52;0;2;0;10
15235;0;0;1;1;1;1;3;2;3;34695,4;0;ES30;47;33;1;0;2
15251;0;0;1;2;1;1;2;2;2;22131,8;0;ES30;38;40;1;0;1
15281;0;0;1;1;1;1;5;1;2;40902;0;ES30;61;35;2;0;1
15294;0;0;1;1;1;1;5;2;2;35739,1;0;ES30;37;38;1;0;1
15313;0;0;2;2;1;1;1;2;2;19959,5;0;ES30;39;40;1;0;1
15353;0;0;1;1;1;1;4;1;2;19715,8;0;ES30;45;38;2;0;1
15356;0;0;2;2;1;1;3;3;3;12824,7;1;ES30;33;42;1;1;1
15422;0;0;1;1;1;1;4;1;3;53076,31;0;ES30;54;45;2;0;1
15446;0;0;1;1;1;1;4;2;3;8478,07;1;ES30;47;0;1;0;10
15450;0;0;1;1;1;1;4;3;3;69987,3;0;ES30;38;50;1;0;1
15458;0;0;2;2;1;1;1;2;3;6671,8;1;ES30;49;0;1;0;5
15471;0;0;2;1;1;1;2;1;3;10899,8;1;ES30;45;0;1;0;5
15497;0;0;2;2;1;1;1;3;2;12470,7;0;ES30;49;33;1;0;2
15588;0;950;2;2;1;1;2;1;2;12692,3;0;ES30;43;0;1;0;5
15676;0;0;1;2;1;1;2;3;5;1155;1;ES30;32;9;1;0;2
15685;0;0;2;1;1;1;2;3;2;34320,3;0;ES30;48;0;1;0;5
15782;0;600;2;2;1;1;1;1;3;2817,9;1;ES61;47;0;2;0;11
15790;0;0;1;1;1;1;3;1;3;57213,9;0;ES61;50;40;3;0;1
15796;0;400;2;2;1;1;1;1;3;400;1;ES61;46;0;2;0;5
15805;0;0;2;2;1;1;1;1;2;10591,5;1;ES61;53;0;2;0;8
15909;0;2160;2;2;1;2;2;1;2;18468,29;0;ES62;43;0;1;0;10
15941;0;0;2;2;1;1;1;5;3;14654,1;1;ES62;40;40;2;0;1
16030;0;0;2;1;1;3;3;3;2;6725,2;1;ES62;29;0;1;0;5
16219;0;1000;2;2;1;1;1;3;3;20551,47;0;ES22;37;40;2;0;1
16245;0;0;1;1;1;1;4;2;2;15852,4;0;ES11;45;37;1;0;1
16360;0;4000;1;1;1;1;3;5;3;21808,9;0;ES12;42;40;1;0;1
16397;0;0;2;1;1;1;4;1;3;55008;0;ES12;54;0;2;1;7
16462;0;120;1;1;1;1;5;5;3;25111,8;0;ES12;46;40;2;1;1
16596;0;0;2;2;1;2;1;3;2;5900,6;1;ES70;25;0;1;0;5
16601;0;0;2;2;1;3;1;4;2;5855,5;1;ES70;38;0;1;0;5
16628;0;0;2;2;1;3;1;2;2;16577,3;0;ES70;37;40;1;0;1
16875;0;0;2;2;1;3;1;3;2;15744,3;0;ES70;66;0;2;1;7
16962;290;290;2;2;1;1;2;3;2;11180,55;1;ES70;45;0;1;0;5
17003;0;0;1;1;1;1;4;1;2;33978;0;ES70;61;0;2;1;3
17004;0;0;1;1;1;1;4;1;2;22315,5;0;ES70;49;40;1;0;1
17048;0;0;1;1;1;1;4;1;2;18599;0;ES13;58;51;2;0;1
17191;0;0;2;2;1;2;2;2;2;2760;1;ES13;52;30;1;0;2
17220;0;0;1;1;1;1;3;5;3;16179,7;0;ES13;33;40;1;0;1
17352;0;0;2;2;1;1;1;5;2;14166,5;0;ES61;56;0;2;0;5
17389;0;0;1;1;1;1;5;1;3;14094,2;0;ES61;35;30;1;0;2
17400;0;0;2;2;1;1;1;3;3;10353,1;1;ES61;44;0;1;0;5
17497;0;0;1;1;1;1;5;1;3;19709,3;0;ES61;49;38;3;0;1
17552;0;0;2;2;1;1;2;5;3;862,2;1;ES51;46;0;2;0;5
17553;0;0;1;1;1;1;4;4;3;22441,2;0;ES51;43;40;1;0;3
17642;0;0;2;2;1;3;1;2;3;21714,1;0;ES51;41;16;1;0;2
17734;0;0;2;2;1;1;3;3;2;13756;0;ES51;30;70;1;0;3
17741;0;0;2;1;1;1;3;5;3;33912,3;0;ES51;41;37;1;0;1
17749;0;0;2;2;1;1;1;3;2;5104,9;1;ES51;56;0;2;0;5
17801;0;0;2;2;1;3;2;5;2;17653,6;0;ES51;41;40;1;0;1
17810;290;0;2;2;1;1;3;2;2;20173,57;0;ES51;47;28;1;0;2
17919;0;0;2;2;1;1;1;3;4;23538,3;0;ES42;42;0;3;0;5
17974;0;0;2;2;1;1;1;2;2;8874,5;1;ES42;35;0;1;0;5
18029;0;0;1;2;1;1;1;2;2;22049,8;0;ES52;45;45;2;1;1
18062;0;0;2;2;1;2;1;1;2;1306;1;ES52;34;0;1;0;5
18189;0;0;2;2;1;2;2;2;2;2114,7;1;ES52;29;40;1;1;1
18218;0;0;2;2;1;1;2;2;4;11803,72;1;ES52;50;40;2;0;1
18223;0;0;2;2;1;1;3;5;3;17197,3;0;ES52;57;32;1;0;1
18257;0;0;1;1;1;1;4;1;2;135832,3;0;ES52;64;55;2;0;3
